State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
OH,275321629,269867888,284894217,291572955,291703538,284292187,296513208,293559349,294474837,292926845,274500699,267890798,246118877,234878049,242001916,241189205,245322845,247373659,257294903,257452248,246679489,244977598,249470785,253926666,250256287,252671364,265614944,261340725,260696132,259883840,266749800,256897481,262827500,270701149,265868465,271913511,265252904,271317138,264748187,239668996,247178570,235113041,214910872,228022498,229718298,211196625,205343914,205050098,208966675,196686590
OK,55559678,56384739,59254257,59746123,61908156,62447728,68986281,72195964,77055134,80090532,77277004,80127672,84758044,85378996,87282911,84136208,77848199,82452058,85750310,87161001,87839474,89160540,92247576,95239108,93451635,94599475,97290392,98571525,97133683,96199113,100166660,101453593,101626135,104142170,99694949,106412690,109149470,109432796,111974350,106224695,105841272,106943528,104743356,102997162,104454170,100288331,96109195,93437823,98010364,90837900
OR,25627819,27000945,29336435,29646394,27345434,26756793,26693670,27502042,29630645,30153509,28272021,29837404,28930705,25711616,27288930,26881412,26407890,27652308,29498823,30582034,30818766,34432249,35579063,35153068,36822017,34139390,36236890,35872956,41626237,43157924,41537944,40630110,39096002,39782847,40713211,41066210,40286304,43673757,42587610,40794173,40613899,37048460,36730330,39025727,37848675,37894168,37671622,38786676,39580131,41839179
PA,306691476,303374243,314945348,325593236,305012030,291252850,308559016,302950696,302661814,316074362,294406248,271494114,240909733,246143964,262636113,250943179,246023651,256983484,269379230,272268949,264370588,257120142,265341085,269588747,266895515,269701782,275186733,276863493,266276911,264886206,278503672,265024797,271940877,276275667,279239740,281565247,275614188,278641008,269928786,245251430,256086701,249736617,239764237,249516028,249379643,232925227,217997825,215274660,220193891,218735822
RI,13123965,13563909,13492887,12544477,11533532,10497933,10624832,11001038,10124512,9265935,8362514,7766387,7439191,7679858,8472723,8468888,9517105,9839601,10336714,9252124,8876457,10740527,12956457,10812880,12752726,12026424,13467985,13564538,13779589,13135299,11765481,12291585,11719313,11572769,10974349,11203392,10525329,11065773,10646414,11238207,10999797,11006859,10487250,10075186,10536010,10804525,9590478,9964469,11056924,10365240
SC,42188883,44049881,46859907,48831782,45689376,42624622,50615517,54112453,53151361,52820201,55137588,55736499,52366949,49704641,53137211,54069799,54345600,58156426,61475467,60855555,61034863,62205073,61488428,65912137,66083541,65141413,69433295,71451617,74977847,78644115,82013514,80412204,81815027,82759615,90337020,88608423,89231740,89393976,86947609,82093443,85865033,81169211,74468698,70236060,74707003,73398806,72269003,69957614,74146749,69445981
SD,9353542,9300057,9678509,9446063,9163115,10889524,12479019,12298684,12906470,12690807,11594324,10906680,11393242,10401620,10811708,11040913,10665878,9406476,11480412,11695480,11745523,11527772,11619546,12285255,12942409,12745545,12733446,13250732,12814196,13453185,14230509,13503289,13770955,13768898,13793689,13295035,13387392,13861599,14938188,14693360,15078191,14611458,14890157,15361847,15379928,14139438,14805760,14654278,15523995,15977969
TN,77896130,76326310,86982800,98640205,90290325,89689368,101982844,102452634,104212862,101756983,100792566,99414464,88202359,94795306,98814202,103192583,104689936,103609464,106444086,103018152,105293360,100607826,106366329,117067943,111687881,118551353,119624047,122775078,122030489,122860314,128729213,127207316,126365927,125136067,127163675,128299632,129919840,129063894,122496315,101945738,109266641,105502607,99025285,97268004,102519792,98703926,101368975,97401436,93835982,92236699
TX,358807105,375669013,398045070,434547778,427236118,406544842,421947771,461023426,492377604,512185927,516429930,511494675,485662474,488097619,507221311,512869653,508399876,515793431,546672491,565527508,570067240,564479625,571120287,587372916,587007569,590231819,635531454,649540641,656325613,646784722,672915903,666746891,678167642,671058925,670481963,644868673,648226714,646119842,623563473,590341874,615440156,634936364,627001431,657720120,661877007,655143227,656807647,664929044,684689594,683232570
UT,24390917,25509713,25778045,28242046,29612247,31000103,30761218,31968490,34104060,36681383,35945886,33753782,32216149,33503129,35833897,36874511,35887306,44532371,51651357,52262219,54469135,53396824,55004930,56706226,57771475,57992371,58801708,61128616,63571332,62452416,65402501,63184807,62563158,63544226,65957742,67524330,68755003,70704389,69785396,65082464,64005394,64456840,61636729,66478611,65278894,63613022,58830091,59027961,61248716,61503227
VT,5538496,5494216,5772888,5927648,5307382,5171477,5871463,5834983,5801961,5354936,4612979,4468373,4053857,4411305,4970720,5177229,5055350,5447148,5725286,5632155,5466548,5669006,6135776,6193928,6020326,5990784,6283495,6494227,6251810,6510928,6784392,6623870,6361001,6665843,7073302,6816481,6678784,6511118,5927546,6189207,5877243,5812434,5453460,5729502,5890748,6126831,5914765,5830031,5854280,6020391
VA,86619275,87419206,88679890,89566938,84981169,81167515,86110340,87390655,84738704,89514138,81889703,78305508,74807488,77256339,83021507,82419135,87264740,93804895,97040517,100089608,95083862,96188860,97517261,101776604,100597027,103010264,107810636,110001499,111873810,113935769,123309972,120825341,119338218,124108405,127729545,129399634,123010836,128182278,116761068,105905582,111886520,102519331,98562433,105766613,107441899,107619904,110080810,105577202,110055488,106767020
WA,44761923,46123867,52297387,57412340,53143932,54890964,54931873,60122850,58924544,61808869,58051426,58964302,54917416,50310720,56981052,59546909,60599904,66393346,70299859,72412315,71649881,72101404,80430083,75289824,80329736,78225314,81798554,79463635,84211775,85671135,84335287,79627443,73334513,75743383,77644511,79159015,77007269,82131017,79205338,76895491,73350086,68895696,67877935,73830289,72468833,75137115,79415277,79113152,78658554,84169482
WV,76966866,77999363,89003678,97593108,100305604,97826952,104157606,102937370,96677314,100930923,102441047,103992536,95827777,97399527,105482298,102198886,101639079,101998890,106860796,109567779,103377656,95801675,97980118,98824582,106470723,104879966,107849033,111152335,115303509,116451911,115716600,105659591,118667655,115395742,112684893,114679709,114809282,117013011,112734094,90138806,100572968,97887614,92148149,94297745,99882962,91963078,94492321,90838824,89144796,85445996
WI,88178847,84763528,84254496,85437129,82057082,80804465,84117611,87188492,88616089,88322377,81668769,78294464,77134048,78724889,81056347,80664736,80312022,81862199,86408015,87039633,85760989,87963157,87130591,90507956,93662190,96611167,100601662,103127156,101082965,105416767,107795823,105894513,107150727,105593447,107757490,110955633,103142479,104806360,105273041,96408949,99025917,98201323,90864078,101293267,101214527,99857015,95626143,98637873,101172770,94822424
WY,18591961,18784176,21661224,23685204,23896355,25333209,30856860,36278997,37120849,42002248,41067264,45062122,46498210,42138123,46350115,50520406,43172468,53288817,55496757,53610447,57212971,55497397,61159496,58202131,60400355,58185985,59624835,59059854,63960496,62538989,63474778,63714919,62494167,64482042,64420577,63716358,64484682,66831137,67235010,64053772,65623891,64471450,66749171,68948614,65928779,64092863,61261523,62793524,63846081,59096649
